"PCBWay Bom Quotation, Product No.:T-X6W1030650A",,,,,,,,,,,,,,
Item #,*Designator,*Qty,Manufacturer,*Mfg Part #,Description / Value,Vendor Part #,*Package/Footprint,*Unit Price(5 units),*Total,*Delivery Time,*Actual Purchase Mfg Part #,*PCBWay Note,Customer Reply,PCBWay Update
1,J3,1,Hirose Electric Co Ltd,TF31-6S-0.5SH(800),"TF31-6S-0.5SH_800_『 』6 Position FFC, FPC Connector Contacts, Bottom 0.020 (0.50mm) Surface Mount, Right Angle",26-TF31-6S-0.5SH(800)CT-ND,HRS_TF31-6S-0.5SH_800_,$0.395,$1.975,,,,,
2,D2,1,Lite-On Inc.,LTST-C171KGKT,LED_G『 』Green 571nm LED Indication - Discrete 2V 0805 (2012 Metric),160-1426-1-ND,LED_0805_2012Metric,$0.036,$0.180,,,,,
3,R1,1,Panasonic Industry,ERA-6AEB104V,"100k『 』100 kOhms ±0.1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Automotive AEC-Q200 Thin Film",P100KDACT-ND,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,$0.473,$2.365,,,,,
4,"R3,R2",2,Panasonic Industry,ERJ-6GEYJ512V,"5.1K『 』5.1 kOhms ±5% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Automotive AEC-Q200 Thick Film",P5.1KACT-ND,R_0805_2012Metric,$0.069,$0.690,,,,,
5,R5,1,Panasonic Industry,ERA-6AEB4642V,"46.4k『 』46.4 kOhms ±0.1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Automotive AEC-Q200 Thin Film",P46.4KDACT-ND,R_0805_2012Metric,$0.473,$2.365,,,,,
6,"C5,C4",2,Samsung Electro-Mechanics,CL21C221JBANNNC,"220PF『 』220 pF ±5% 50V Ceramic Capacitor C0G, NP0 0805 (2012 Metric)",1276-1164-1-ND,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,$0.076,$0.760,,,,,
7,"FB2,FB1",2,Murata Electronics,BLM21PG600SN1D,FerriteBead『 』60 Ohms @ 100 MHz 1 Power Line Ferrite Bead 0805 (2012 Metric) 3.5A 20mOhm,490-1053-1-ND,L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,$0.075,$0.750,,,,,
8,U2,1,Texas Instruments,BQ24074RGTT,BQ24074RGT『 』Charger IC Lithium Ion 16-VQFN (3x3),296-23798-1-ND,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,$2.276,$11.380,,,,,
9,C2,1,NextGen Components,CL21B104KBCNNNC,0.1UF『 』0.1 µF ±10% 50V Ceramic Capacitor X7R 0805 (2012 Metric),1276-1003-1-ND,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,$0.158,$0.790,,,,,
10,"R10,R8",2,Panasonic Industry,ERA-6AEB152V,"1.5K『 』1.5 kOhms ±0.1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Automotive AEC-Q200 Thin Film",P1.5KDACT-ND,R_0805_2012Metric,$0.284,$2.840,,,,,
11,J1,1,GCT,USB4125-GF-A,"USB_C_Receptacle_PowerOnly_6P『 』USB-C (USB TYPE-C) Receptacle Connector 24 (6+18 Dummy) - Power Only 6 Pin Position Surface Mount, Right Angle; Through Hole",2073-USB4125-GF-ACT-ND,USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal,$1.159,$5.795,,,,,
12,U1,1,Analog Devices Inc./Maxim Integrated,MAX98357AETE+T,MAX98357AETE_T『 』Amplifier IC 1-Channel (Mono) Class D 16-TQFN (3x3),MAX98357AETE+TCT-ND,QFN50P300X300X80-17N,$1.181,$5.905,,,,,
13,SW1,1,C&K,PCM12SMTR,"SW_SPDT『 』Slide Switch SPDT Surface Mount, Right Angle",401-2016-1-ND,SW_SPDT_PCM12,$1.328,$6.640,,,,,
