"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J3";"HRS_TF31-6S-0.5SH_800_";1;"TF31-6S-0.5SH_800_";;;
2;"D2";"LED_0805_2012Metric";1;"LED_G";;;
3;"R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100k";;;
4;"R3,R2";"R_0805_2012Metric";2;"5.1K";;;
5;"R5";"R_0805_2012Metric";1;"46.4k";;;
6;"C5,C4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"220PF";;;
7;"FB2,FB1";"L_0805_2012Metric_Pad1.05x1.20mm_HandSolder";2;"FerriteBead";;;
8;"U2";"VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm";1;"BQ24074RGT";;;
9;"C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"0.1UF";;;
10;"R10,R8";"R_0805_2012Metric";2;"1.5K";;;
11;"J1";"USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal";1;"USB_C_Receptacle_PowerOnly_6P";;;
12;"U1";"QFN50P300X300X80-17N";1;"MAX98357AETE_T";;;
13;"SW1";"SW_SPDT_PCM12";1;"SW_SPDT";;;
14;"BT1";"JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal";1;"Battery";;;
15;"R7";"R_0805_2012Metric";1;"1.13k";;;
16;"C7,C6";"C_0805_2012Metric";2;"4.7uf";;;
17;"D1";"LED_0805_2012Metric";1;"LED_R";;;
18;"R6";"R_0805_2012Metric";1;"1.18k";;;
19;"J2";"PinHeader_1x02_P2.54mm_Vertical";1;"speaker";;;
20;"R4";"R_0805_2012Metric";1;"4.12k";;;
21;"R9";"R_0805_2012Metric";1;"10k";;;
22;"C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10UF";;;
23;"C1";"C_0805_2012Metric";1;"1UF";;;
