Designator,MID X,Mid Y,Layer,Rotation
C1,175.2854,-43.4442,-90,top
C2,152.6787,-46.0248,180,top
C3,152.6787,-48.0568,180,top
C4,158.5253,-39.5324,180,top
C5,158.5507,-47.8536,0,top
C6,184.277,-45.2476,90,top
C7,181.0512,-47.4878,-90,top
D1,186.2582,-41.5351,-90,top
D2,187.1703,-44.2722,0,top
FB1,155.6974,-41.3188,90,top
FB2,155.7122,-45.346,-90,top
J1,166.3378,-46.4632,0,top
J3,142.3826,-44.2396,90,top
R1,149.6314,-46.853,-90,top
R2,164.5685,-40.894,0,top
R3,168.0991,-40.8686,180,top
R4,174.9552,-47.4999,90,top
R5,172.9486,-47.4999,90,top
R6,178.1302,-40.6146,0,top
R7,176.9872,-47.4999,90,top
R8,188.2902,-41.5309,-90,top
R9,178.9938,-47.498,-90,top
R10,187.198,-46.2788,0,top
SW1,193.79,-39.9974,180,top
U1,152.6454,-42.8226,0,top
U2,181.0248,-43.3932,90,top
